"row_id","objectid","cnn","streetname","project_lo","from_st","tc_measure","units","install_mo","install_yr","install_date","fiscal_yr","program","current_status","supervisor_district","analysis_neighborhood","shape","data_as_of","data_loaded_at"
"269","14332","27175000","LINCOLN WAY","Lincoln Way and 12th Avenue","12TH AVE","Median Extension","1","0","0","1900 Jan 01 12:00:00 AM","FY 2008-2009","Paving","Complete","7","Inner Sunset","POINT (-122.469653849 37.76578267)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"270","14423","27075000","PARNASSUS AVE","Parnassus Avenue and 5th Avenue \ Judah Street","05TH AVE \ JUDAH ST","Traffic Island","0","0","2010","2010 Jan 01 12:00:00 AM",,,"Complete","7","Inner Sunset","POINT (-122.461900573 37.762362742)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"271","14397","27034000","WARREN Drive","Warren Drive and Christopher Drive","CHRISTOPHER Drive","Speed Hump","0","0","0","1900 Jan 01 12:00:00 AM","FY 2013-2014",,"Complete","7","Forest Knolls","POINT (-122.46015667 37.753737608)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"272","15140","26206000","ROOSEVELT WAY","Roosevelt Way and Clifford Ter","CLIFFORD TER","Traffic Island","1","0","2014","2014 Jan 01 12:00:00 AM","FY 2011-2012","TC Implementation","Complete","8","Buena Vista","POINT (-122.442951037 37.763677959)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"273","15046","26333000","FREDERICK ST","Frederick Street and Buena Vista Avenue","BUENA VISTA AVE","Traffic Island","1","0","2014","2014 Jan 01 12:00:00 AM","FY 2013-2014","TC Implementation","Complete","8","Buena Vista","POINT (-122.443865815 37.767535852)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"274","15349","26021000","DUBOCE AVE","Duboce Avenue and Buena Vista Avenue \ Buena Vista Ter","BUENA VISTA AVE \ BUENA VISTA TER","Raised Crosswalk","1","6","2021","2021 Jun 01 12:00:00 AM","FY 2019-2020","App-Based","Complete","8","Buena Vista","POINT (-122.438338329 37.769006601)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"275","15147","26215000","DOWNEY ST","Downey Street and Ashbury Street","ASHBURY ST","Traffic Island","0","0","0","1900 Jan 01 12:00:00 AM","FY 2011-2012","Early Implementation","Complete","8",,"POINT (-122.446504706 37.763708381)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"276","15213","26313000","MUSEUM WAY","Museum Way and Fairbanks Street \ Roosevelt Way","FAIRBANKS ST \ ROOSEVELT WAY","Speed Hump","0","1","2019","2019 Jan 01 12:00:00 AM",,,"Complete","8",,"POINT (-122.441241683 37.765270858)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"277","14323","27166000","KIRKHAM ST","Kirkham Street and Funston Avenue","FUNSTON AVE","Traffic Island","0","0","2010","2010 Jan 01 12:00:00 AM",,,"Complete","7",,"POINT (-122.470334652 37.760123551)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"278","14324","27167000","LURLINE ST","Lurline Street and 14th Avenue \ Kirkham Street","14TH AVE \ KIRKHAM ST","Traffic Island","0","0","2010","2010 Jan 01 12:00:00 AM",,,"Complete","7",,"POINT (-122.471408572 37.760075573)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"279","14334","27178000","LINCOLN WAY","Lincoln Way and Arguello Boulevard \ Frederick Street","ARGUELLO BLVD \ FREDERICK ST","Traffic Island","0","0","2010","2010 Jan 01 12:00:00 AM",,,"Complete","8",,"POINT (-122.457789624 37.766014767)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"280","14412","27056000","WARREN Drive","Warren Drive and Locksley Avenue","LOCKSLEY AVE","Traffic Island","1","7","2009","2009 Jul 01 12:00:00 AM","FY 2009-2010","Areawide","Complete","7",,"POINT (-122.463225948 37.758562489)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"281","14447","27101000","MORAGA ST","Moraga Street and 7th Avenue","07TH AVE","Traffic Island","0","0","2009","2009 Jan 01 12:00:00 AM",,,"Complete","7",,"POINT (-122.463657671 37.756764108)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"282","14451","27105000","LAWTON ST","Lawton Street and 8th Avenue","08TH AVE","Traffic Island","0","0","2010","2010 Jan 01 12:00:00 AM",,,"Complete","7",,"POINT (-122.464851492 37.75849136)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"283","10229","20011000","INGERSON AVE","Ingerson Avenue and Giants Drive","GIANTS Drive","Painted Traffic Circle","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","10",,"POINT (-122.38813051 37.716298216)","2023 Aug 17 03:48:19 PM","2026 Apr 18 10:23:38 AM"
"284","10395","20510000","WILLIAMS AVE","Williams Avenue and Ceres Street","CERES ST","Traffic Island","1","0","2014","2014 Jan 01 12:00:00 AM","FY 2013-2014","TC Implementation","Complete","10",,"POINT (-122.394479205 37.729526697)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"285","10483","20612000","WILLIAMS AVE","Williams Avenue and Apollo Street","APOLLO ST","Traffic Island","1","0","2014","2014 Jan 01 12:00:00 AM",,"TC Implementation","Complete","10",,"POINT (-122.398970458 37.730164614)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"286","12835","33695000","MONTEREY BLVD","Monterey Boulevard and Joost Avenue","JOOST AVE","Median Extension","1","0","0","1900 Jan 01 12:00:00 AM","FY 2011-2012","Areawide","Complete","8",,"POINT (-122.434992782 37.732295288)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"287","12961","33389000","FLOOD AVE","Flood Avenue and Circular Avenue","CIRCULAR AVE","Traffic Island","1","6","2009","2009 Jun 01 12:00:00 AM","FY 2008-2009","Areawide","Complete","7",,"POINT (-122.440664991 37.72991933)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"288","13204","32935000","CORBIN PL","Corbin Place and 17th Street","17TH ST","Traffic Island","0","0","0","1900 Jan 01 12:00:00 AM","FY 2011-2012","Areawide","Complete","8",,"POINT (-122.442908034 37.762023463)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"289","13852","27654000","24TH AVE","24th Avenue and Lake Street","LAKE ST","Traffic Island","2","5","2017","2017 May 01 12:00:00 AM",,"2016 Backlog Islands","Complete","1",,"POINT (-122.484079805 37.78579453)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"290","12766","33604000","STAPLES AVE","Staples Avenue and Circular Avenue","CIRCULAR AVE","Traffic Island","1","6","2009","2009 Jun 01 12:00:00 AM","FY 2008-2009","Areawide","Complete","7",,"POINT (-122.442595297 37.729101681)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"291","17759","23124000","INVERNESS Drive","Inverness Drive and Eucalyptus Drive","EUCALYPTUS Drive","Raised Crosswalk","1","3","2021","2021 Mar 01 12:00:00 AM","FY 2018-2019","School TC","Complete","4",,"POINT (-122.48266361 37.731147128)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"292","17774","23141000","WEST PORTAL AVE","West Portal Avenue and Junipero Serra Boulevard \ Portola Drive \ Saint Francis Boulevard \ Sloat Boulevard","JUNIPERO SERRA BLVD \ PORTOLA Drive \ SAINT FRANCIS BLVD \ SLOAT BLVD","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","7",,"POINT (-122.471569341 37.734706811)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"293","17800","22943000","SANTA ANA AVE","Santa Ana Avenue and 14th Avenue \ Portola Drive \ San Anselmo Avenue","14TH AVE \ PORTOLA Drive \ SAN ANSELMO AVE","Traffic Island","0","0","0","1900 Jan 01 12:00:00 AM","FY 2009-2010","TC Implementation","Complete","7",,"POINT (-122.468309609 37.737417148)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"294","18725","21812000","MONTEREY BLVD","Monterey Boulevard and Circular Avenue \ I-280 N On Ramp \ I-280 S Off Ramp","CIRCULAR AVE \ I-280 N ON RAMP \ I-280 S OFF RAMP","Median Extension","0","0","0","1900 Jan 01 12:00:00 AM","FY 2011-2012","Areawide","Complete","7",,"POINT (-122.436678949 37.731538395)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"295","18733","21820000","MISSION ST","Mission Street and College Avenue \ Crescent Avenue","COLLEGE AVE \ CRESCENT AVE","Channelization","1","0","0","1900 Jan 01 12:00:00 AM","FY 2004-2005","Site Specific","Complete","9",,"POINT (-122.424702562 37.735369871)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"296","16460","24611000","NEW MONTGOMERY ST","New Montgomery Street and Ambrose Bierce Street","AMBROSE BIERCE ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","6",,"POINT (-122.400808595 37.787698947)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"297","17930","22882000","TARAVAL ST","Taraval Street and Claremont Boulevard \ Dewey Boulevard \ Kensington Way \ Montalvo Avenue","CLAREMONT BLVD \ DEWEY BLVD \ KENSINGTON WAY \ MONTALVO AVE","Traffic Circle","1","0","1957","1957 Jan 01 12:00:00 AM","FY 2013-2014",,"Complete","7",,"POINT (-122.463685996 37.74374941)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"298","16549","24492000","02nd ST","2nd Street and Stillman Street","STILLMAN ST","Raised Crosswalk","1","8","2020","2020 Aug 01 12:00:00 AM",,"PW Second St Infrastructure Improvements","Complete","6",,"POINT (-122.394150515 37.783503509)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"299","16565","24511000","02nd ST","2nd Street and Dow Place","DOW PL","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","6",,"POINT (-122.395895701 37.784896929)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"300","16668","24401000","STEVENSON ST","Stevenson Street and Duboce Avenue","DUBOCE AVE","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9",,"POINT (-122.421582535 37.769917759)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"301","19164","21230000","CRESCENT AVE","Crescent Avenue and Murray Street","MURRAY ST","Raised Crosswalk","1","4","2023","2023 Apr 01 12:00:00 AM","<Null>","FY21 D9 NTIP","Pending Construction","9",,"POINT (-122.420223758 37.735058128)","2024 Feb 07 12:13:13 AM","2026 Apr 18 10:23:38 AM"
"302","18384","22285000","OSHAUGHNESSY BLVD","Oshaughnessy Boulevard and Malta Drive","MALTA Drive","Traffic Island","1","11","2007","2007 Nov 01 12:00:00 AM","FY 2005-2006","Site Specific","Complete","8",,"POINT (-122.443602235 37.736502584)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"303","19260","21125000","PRECITA AVE","Precita Avenue and Cesar Chavez Street \ York Street","CESAR CHAVEZ ST \ YORK ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9",,"POINT (-122.407882028 37.748405)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"304","19266","21131000","MULLEN AVE","Mullen Avenue and Alabama Street","ALABAMA ST","Chicane","1","12","2006","2006 Dec 01 12:00:00 AM","FY 2006-2007","Site Specific","Complete","9",,"POINT (-122.410564652 37.746323275)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"305","17011","23949000","POTRERO AVE","Potrero Avenue and 25th Street \ Cesar Chavez On Ramp","25TH ST \ CESAR CHAVEZ ON RAMP","Traffic Island","1","0","0","1900 Jan 01 12:00:00 AM","FY 2004-2005","Corridor","Complete","9",,"POINT (-122.406186565 37.751366903)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"306","18407","22316000","CLIPPER ST","Clipper Street and Douglass Street","DOUGLASS ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM","<Null>","D8 CRT","Pending Construction","8",,"POINT (-122.438246126 37.748664501)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"307","18441","22133000","HEARST AVE","Hearst Avenue and Circular Avenue","CIRCULAR AVE","Traffic Island","1","11","2007","2007 Nov 01 12:00:00 AM","FY 2005-2006","Areawide","Complete","7",,"POINT (-122.438692929 37.730737999)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"308","18453","22152000","JUDSON AVE","Judson Avenue and Circular Avenue \ Detroit Street \ Paulding Street","CIRCULAR AVE \ DETROIT ST \ PAULDING ST","Traffic Island","3","12","2014","2014 Dec 01 12:00:00 AM","FY 2013-2014","TC Implementation","Complete","7",,"POINT (-122.444276985 37.728261755)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"309","19292","21164000","NORWICH ST","Norwich Street and Alabama Street","ALABAMA ST","Chicane","1","12","2006","2006 Dec 01 12:00:00 AM","FY 2005-2006","Site Specific","Complete","9",,"POINT (-122.410474281 37.745297698)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"310","15344","26013000","ROOSEVELT WAY","Roosevelt Way and Buena Vista Ter","BUENA VISTA TER","Median Island","1","0","2014","2014 Jan 01 12:00:00 AM","FY 2013-2014","TC Implementation","Complete","8",,"POINT (-122.438291384 37.76672578)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"311","15347","26018000","ROOSEVELT WAY","Roosevelt Way and 15th Street \ Park Hill Avenue","15TH ST \ PARK HILL AVE","Traffic Island","0","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","8",,"POINT (-122.43950184 37.766575525)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"312","15569","25847000","ELGIN PARK","Elgin Park and Duboce Avenue","DUBOCE AVE","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9",,"POINT (-122.423145965 37.769820825)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"313","15571","25849000","PEARL ST","Pearl Street and Duboce Avenue","DUBOCE AVE","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","8",,"POINT (-122.423821475 37.769780287)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"314","16177","24971000","BURRITT ST","Burritt Street and Bush Street","BUSH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","3",,"POINT (-122.407500495 37.790321891)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"315","16179","24975000","DASHIELL HAMMETT ST","Dashiell Hammett Street and Bush Street","BUSH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","3",,"POINT (-122.407868938 37.790275354)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"316",,"21473000","ROLPH ST","Rolph Street and Newton Street","NEWTON ST","Raised Crosswalk","1","10","2022","2022 Oct 01 12:00:00 AM","FY 2018-2019","D11 NTIP","Complete",,,"POINT (-122.439191099 37.714693814)","2022 Nov 17 10:01:01 PM","2026 Apr 18 10:23:38 AM"
"317",,"22059000","SENECA AVE","Seneca Avenue and Cayuga Avenue","CAYUGA AVE","Raised Crosswalk","1","6","2024","2024 Jun 01 12:00:00 AM",,"Excelsior Neighborood TC","Pending Construction",,,"POINT (-122.442551535 37.719620848)","2025 Mar 21 04:51:10 PM","2026 Apr 18 10:23:38 AM"
"318",,"21632000","PERSIA AVE","Persia Avenue and Athens St","ATHENS ST","Raised Crosswalk","1","6","2024","2024 Jun 01 12:00:00 AM",,"Excelsior Neighborhood TC","Complete",,,"POINT (-122.429599154 37.720090314)","2024 Jul 17 07:43:02 PM","2026 Apr 18 10:23:38 AM"
"319",,"21719000","PERSIA AVE","Persia Avenue and Lisbon Street","LISBON ST","Raised Crosswalk","1","6","2024","2024 Jun 01 12:00:00 AM",,"Excelsior Neighborhood TC","Complete",,,"POINT (-122.433606338 37.722000221)","2024 Jul 17 07:39:40 PM","2026 Apr 18 10:23:38 AM"
"320",,"22076000","ONONDAGA AVE","Onondaga Avenue and Otsego Avenue","OTSEGO AVE","Raised Crosswalk","1","6","2024","2024 Jun 01 12:00:00 AM",,"Excelsior Neighborhood TC","Complete",,,"POINT (-122.441430619 37.722725671)","2024 Jul 17 08:55:01 PM","2026 Apr 18 10:23:38 AM"
"321",,"21385000","ROLPH ST","Rolph Street and South Hill Boulevard","SOUTH HILL BLVD","Raised Crosswalk","2","5","2024","2024 May 01 12:00:00 AM","FY 2019-2020","D11 NTIP","Complete",,,"POINT (-122.431866925 37.711404776)","2024 Jul 17 09:37:49 PM","2026 Apr 18 10:23:38 AM"
"322",,"21371000","CANYON DR","Canyon Drive and South Hill Boulevard","SOUTH HILL BLVD","Raised Crosswalk","1","2","2024","2024 Feb 01 12:00:00 AM","FY 2019-2020","D11 NTIP","Complete","11",,"POINT (-122.429896022 37.708867204)","2025 Mar 20 11:06:59 PM","2026 Apr 18 10:23:38 AM"
"323",,"21516000","MT VERNON AVE","Mount Vernon Avenue and Del Monte Street","DEL MONTE ST","Raised Crosswalk","1","2","2024","2024 Feb 01 12:00:00 AM","FY 2019-2020","D11 NTIP","Complete",,,"POINT (-122.443794783 37.715472472)","2024 Mar 05 11:35:42 PM","2026 Apr 18 10:23:38 AM"
"324",,"22723000","BYXBEE ST","Byxbee Street and Garfield Street","GARFIELD ST","Raised Crosswalk","1","11","2024","2024 Nov 01 12:00:00 AM","FY 2019-2020","D11 NTIP","Complete",,,"POINT (-122.469852257 37.719652233)","2024 Nov 22 06:05:18 PM","2026 Apr 18 10:23:38 AM"
"325",,"22721000","BYXBEE ST","Byxbee Street and Shields Avenue","SHIELDS AVE","Raised Crosswalk","1","1","24","0024 Jan 01 12:00:00 AM","FY 2019-2020","D11 NTIP","Complete",,,"POINT (-122.469837627 37.717888158)","2024 Feb 13 06:52:29 PM","2026 Apr 18 10:23:38 AM"
"326",,"20999000","CAMBRIDGE DR","Cambridge Drive and Gladstone Way","GLADSTONE DR","Raised Crosswalk","1","3","2022","2022 Mar 01 12:00:00 AM","FY 2019-2019","D11 NTIP","Complete",,,"POINT (-122.42018514 37.731463215)","2022 Dec 06 11:52:14 PM","2026 Apr 18 10:23:38 AM"
"327",,"23627000","25TH ST","25th Street and Dakota Street","DAKOTA ST","Raised Crosswalk","1","4","2022","2022 Apr 01 12:00:00 AM",,"Misc Traffic Calming","Complete",,,"POINT (-122.394586978 37.752426801)","2022 Dec 07 12:02:25 AM","2026 Apr 18 10:23:38 AM"
"328",,,"FONT BLVD","Font Blvd and SF State",,"Traffic Circle","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","7","Parkmerced","POINT (-122.483412116 37.722945437)","2023 Aug 17 03:59:04 PM","2026 Apr 18 10:23:38 AM"
"329",,"21640000","EXCELSIOR AVE","Excelsior Avenue and Vienna Street","VIENNA ST","Traffic Circle","1","5","1975","1975 May 01 12:00:00 AM","FY 1974-1975",,"Complete","11",,"POINT (-122.42807402 37.72359105)","2023 Aug 17 04:17:03 PM","2026 Apr 18 10:23:38 AM"
"641",,,"CHENERY ST","Chenery Street and Lippard Avenue","LIPPARD AVE","Raised Crosswalk","1","11","2023","2023 Nov 01 12:00:00 AM","2018-2019","App-Based","Complete","8","Glen Park","POINT (-122.435550525 37.734796986)","2024 Jan 17 11:57:54 PM","2026 Apr 18 10:23:38 AM"
"962",,"22805000","YERBA BUENA AVE","Yerba Buena Avenue at Brentwood Avenue","BRENTWOOD AVE","Raised Crosswalk","1","3","2024","2024 Mar 01 12:00:00 AM","FY 2020-2021","App-Based","Complete","7","Westwood Highlands","POINT (-122.4590639 37.733645068)","2025 Mar 20 11:08:25 PM","2026 Apr 18 10:23:38 AM"
"1281",,,"GENEVA AVE","Geneva Avenue and Mission Street","MISSION ST","Centerline Hardening w/Rubber Humps",,,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.441019561 37.716459546)","2024 Nov 15 08:25:51 PM","2026 Apr 18 10:23:38 AM"
"1282",,,"GENEVA AVE","Geneva Avenue and Naples Street","NAPLES ST","Centerline Hardening w/Rubber Humps",,,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.436176465 37.714209484)","2024 Nov 15 08:27:10 PM","2026 Apr 18 10:23:38 AM"
"1283",,,"ALEMANY BLVD","Alemany Boulevard and Silver Avenue","SILVER AVE","Centerline Hardening w/Rubber Humps",,,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.433386843 37.729775575)","2024 Nov 15 08:28:16 PM","2026 Apr 18 10:23:38 AM"
"1284",,,"ALEMANY BLVD","Alemany Boulevard and Ocean Avenue","OCEAN AVE","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.437439122 37.723716463)","2024 Nov 15 08:29:07 PM","2026 Apr 18 10:23:38 AM"
"1285",,,"EXCELSIOR AVE","Excelsior Avenue and Naples Street","NAPLES ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.428836527 37.723954573)","2024 Nov 15 08:31:29 PM","2026 Apr 18 10:23:38 AM"
"1286",,,"RUSSIA AVE","Russia Avenue and Madrid Street","MADRID ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.433985108 37.720062806)","2024 Nov 15 08:33:43 PM","2026 Apr 18 10:23:38 AM"
"1287",,,"RANDOLPH ST","Randolph Street and Russia Street","RUSSIA ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.464400756 37.714293874)","2024 Nov 15 08:34:42 PM","2026 Apr 18 10:23:38 AM"
"1288",,,"RANDOLPH ST","Randolph Street and Victoria Street","VICTORIA ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.465299721 37.714286977)","2024 Nov 15 08:35:31 PM","2026 Apr 18 10:23:38 AM"
"1289",,,"BRAZIL AVE","Brazil Avenue and Naples Street","NAPLES ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.43002615 37.722397872)","2024 Nov 15 08:38:42 PM","2026 Apr 18 10:23:38 AM"
"1290",,,"SILVER AVE","Silver Avenue and Congdon Street","CONGDON ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.425963703 37.728641022)","2024 Nov 15 08:39:40 PM","2026 Apr 18 10:23:38 AM"
"1291",,,"ALEMANY BLVD","Alemany Boulevard and Congdon Street","CONGDON ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.426161767 37.731168532)","2024 Nov 15 08:41:07 PM","2026 Apr 18 10:23:38 AM"
"1292",,,"MISSION ST","Mission Street & Trumbull Street","TRUMBULL ST","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.429304397 37.730742173)","2024 Nov 15 08:42:18 PM","2026 Apr 18 10:23:38 AM"
"1293",,,"MISSION ST","Mission Street and Maynard Street/ Castle Manor Avenue","MAYNARD ST/CASTLE MANOR AVE","Centerline Hardening w/Rubber Humps","4",,,,"FY 2024-2025","FY25 D11 NTIP Sideshow Deterrence",,,,"POINT (-122.430809256 37.729227846)","2024 Nov 15 08:47:18 PM","2026 Apr 18 10:23:38 AM"
"1601",,,"MINERVA ST","Minerva Street and Capitol Avenue","CAPITOL AVE","Raised Crosswalk","1","12","2021","2021 Dec 01 12:00:00 AM","FY 2018-2019","D11 NTIP","Complete",,,"POINT (-122.459054861 37.715757941)","2024 Dec 04 07:04:09 PM","2026 Apr 18 10:23:38 AM"
"1921",,"20347000","LELAND AVE","Leland Avenue at Peabody Street","PEABODY ST","Speed Table","2",,,,"FY 2021-2022","App-Based","Pending Construction","10","Visitacion Valley","POINT (-122.406528597 37.71228275)","2025 Jun 23 11:32:30 PM","2026 Apr 18 10:23:38 AM"
"1922",,"20355000","LELAND AVE","Leland Avenue at Cora Street","CORA ST","Speed Table","2",,,,"FY 2021-2022","App-Based","Pending construction","10","Visitacion Valley","POINT (-122.40833406 37.712813609)","2025 Jun 26 10:48:20 PM","2026 Apr 18 10:23:38 AM"
"1923",,"20363000","LELAND AVE","Leland Avenue at Delta Street","DELTA ST","Speed Table","2",,,,"FY 2021-2022","App-Based","Pending construction","10","Visitacion Valley","POINT (-122.409488903 37.713125571)","2025 Jun 23 11:40:13 PM","2026 Apr 18 10:23:38 AM"
"1924",,"20764000","SILVER AVE","Silver Avenue at Elmira Street","ELMIRA ST","Raised Crosswalk","1",,,,"FY 2020-2021","App-Based","Pending design review and approval","10","Silver Terrace","POINT (-122.403509274 37.733665319)","2025 Jun 26 10:41:16 PM","2026 Apr 18 10:23:38 AM"
"1925",,,"SILVER AVE","Silver Avenue at Scotia Avenue","SCOTIA AVE","Raised Crosswalk","1",,,,"FY 2020-2021","App-Based","Pending design review and approval","10","Silver Terrace","POINT (-122.402201724 37.734481536)","2025 Jun 26 10:41:27 PM","2026 Apr 18 10:23:38 AM"
"1926",,,"SILVER AVE","Silver Avenue at Topeka Avenue","TOPEKA AVE","Raised Crosswalk","1",,,,"FY 2020-2021","App-Based","Pending construction",,"Silver Terrace","POINT (-122.400952394 37.735261395)","2025 Jun 25 03:52:19 PM","2026 Apr 18 10:23:38 AM"
"1927",,,"SILVER AVE","Silver Avenue at Revere Avenue","REVERE AVE","Raised Crosswalk","1",,,,"FY 2020-2021","App-Based","Pending design review and approval","10","Silver Terrace","POINT (-122.398555902 37.736433077)","2025 Jun 26 10:43:49 PM","2026 Apr 18 10:23:38 AM"
"2241",,"27695000","ORTEGA ST","Ortega Street at 37th Avenue","37TH AVE","Raised Crosswalk","1","5","2025","2025 May 01 12:00:00 AM",,"Sunset Neighborways Ortega TC","Complete","4","Outer Sunset","POINT (-122.495630257 37.751526823)","2025 Jul 21 09:34:40 PM","2026 Apr 18 10:23:38 AM"
"2561",,"26812000","SAINT JOSEPHS AVE","Saint Joseph's Avenue at O'Farrell Street","O'FARRELL ST","Raised Crosswalk",,"8","2025","2025 Aug 01 12:00:00 AM",,"D2 CRT","Complete","2","Anza Vista","POINT (-122.441671639 37.782233947)","2026 Feb 17 09:11:02 PM","2026 Apr 18 10:23:38 AM"
"2881",,"27960000","LA PLAYA ST","La Playa St at Judah St","JUDAH ST","Raised Crosswalk",,"8",,,,"Misc Traffic Calming","Complete","4","Outer Sunset","POINT (-122.509141223 37.760282322)","2026 Apr 13 05:51:43 PM","2026 Apr 18 10:23:38 AM"
